Date,Month,Year,Price,Open,High,Low,Vol.,Change %
"Oct 18, 2021",October,2021,3447.49,3387.2,3449.17,3387.2,2.85M,1.13%
"Oct 15, 2021",October,2021,3409.02,3311.42,3410.42,3304,5.18M,3.31%
"Oct 14, 2021",October,2021,3299.86,3302.45,3312.6,3290.78,2.06M,0.47%
"Oct 13, 2021",October,2021,3284.28,3269.71,3288.38,3261.09,2.33M,1.14%
"Oct 12, 2021",October,2021,3247.33,3257,3267.53,3236.28,1.82M,0.03%
"Oct 11, 2021",October,2021,3246.3,3275,3292.59,3238.1,2.01M,-1.29%
"Oct 08, 2021",October,2021,3288.62,3317,3321.43,3288.2,2.00M,-0.42%
"Oct 07, 2021",October,2021,3302.43,3291.54,3325.75,3283.06,2.36M,1.24%
"Oct 06, 2021",October,2021,3262.01,3213.53,3264.34,3198.62,2.47M,1.27%
"Oct 05, 2021",October,2021,3221,3204.5,3260.73,3202.46,3.21M,0.98%
"Oct 04, 2021",October,2021,3189.78,3279.39,3279.99,3176.25,4.45M,-2.85%
"Oct 01, 2021",October,2021,3283.26,3289.01,3309.17,3255.94,2.84M,-0.05%
"Sep 30, 2021",September,2021,3285.04,3316,3327.85,3273.99,2.79M,-0.49%
"Sep 29, 2021",September,2021,3301.12,3322.11,3351.3,3297.87,2.55M,-0.45%
"Sep 28, 2021",September,2021,3315.96,3357.71,3369.19,3290.1,4.32M,-2.64%
"Sep 27, 2021",September,2021,3405.8,3371.5,3415.57,3339.61,3.57M,-0.58%
"Sep 24, 2021",September,2021,3425.52,3402.01,3429.26,3393.4,2.12M,0.28%
"Sep 23, 2021",September,2021,3416,3380.05,3428.96,3380.05,2.36M,1.06%
"Sep 22, 2021",September,2021,3380.05,3351,3389,3341.05,2.41M,1.09%
"Sep 21, 2021",September,2021,3343.63,3375,3379.7,3332.39,2.77M,-0.36%
"Sep 20, 2021",September,2021,3355.73,3396,3419,3305.01,4.55M,-3.08%
"Sep 17, 2021",September,2021,3462.52,3488.41,3497.41,3452.13,4.62M,-0.74%
"Sep 16, 2021",September,2021,3488.24,3459.96,3492.55,3446.14,2.55M,0.36%
"Sep 15, 2021",September,2021,3475.79,3442.52,3485.42,3402.01,2.93M,0.75%
"Sep 14, 2021",September,2021,3450,3475.55,3486.81,3437.71,1.86M,-0.21%
"Sep 13, 2021",September,2021,3457.17,3482.8,3497.96,3438,2.31M,-0.35%
"Sep 10, 2021",September,2021,3469.15,3501.83,3508.45,3462.91,2.40M,-0.43%
"Sep 09, 2021",September,2021,3484.16,3526.02,3549.99,3480.37,2.67M,-1.17%
"Sep 08, 2021",September,2021,3525.5,3511.65,3545.63,3495.67,3.04M,0.46%
"Sep 07, 2021",September,2021,3509.29,3478,3528.09,3476.94,2.70M,0.90%
