"Date","Price","Open","High","Low","Change %"
"Oct 18, 2021","6.4050","6.3336","6.4331","6.3194","1.13%"
"Oct 17, 2021","6.3334","6.3314","6.3380","6.3314","-0.01%"
"Oct 15, 2021","6.3341","6.3939","6.4074","6.2996","-0.91%"
"Oct 14, 2021","6.3920","6.3920","6.4127","6.3446","0.02%"
"Oct 13, 2021","6.3910","6.3784","6.4607","6.3686","0.21%"
"Oct 12, 2021","6.3773","6.3981","6.4068","6.3762","-0.28%"
"Oct 11, 2021","6.3954","6.3714","6.4050","6.3538","0.33%"
"Oct 08, 2021","6.3742","6.3752","6.4014","6.3373","0.00%"
"Oct 07, 2021","6.3742","6.3496","6.3930","6.3204","0.45%"
"Oct 06, 2021","6.3456","6.3529","6.3945","6.3142","-0.05%"
"Oct 05, 2021","6.3486","6.3397","6.3643","6.2937","0.18%"
"Oct 04, 2021","6.3370","6.2181","6.3436","6.2151","1.91%"
"Oct 01, 2021","6.2182","6.3045","6.3165","6.2090","-1.35%"
"Sep 30, 2021","6.3033","6.2800","6.3364","6.2172","0.39%"
"Sep 29, 2021","6.2789","6.3429","6.3472","6.2608","-0.99%"
"Sep 28, 2021","6.3420","6.3066","6.3682","6.2912","0.60%"
"Sep 27, 2021","6.3042","6.2587","6.3098","6.2081","0.89%"
"Sep 24, 2021","6.2487","6.2257","6.2716","6.2116","0.40%"
"Sep 23, 2021","6.2236","6.1810","6.2399","6.1581","0.70%"
"Sep 22, 2021","6.1805","6.1799","6.2213","6.1559","0.04%"
"Sep 21, 2021","6.1779","6.2441","6.2573","6.1704","-1.02%"
"Sep 20, 2021","6.2415","6.2049","6.3045","6.1849","0.66%"
"Sep 17, 2021","6.2005","6.1852","6.2860","6.1810","0.33%"
"Sep 16, 2021","6.1802","6.1720","6.2087","6.1435","0.17%"
"Sep 15, 2021","6.1697","6.1856","6.2301","6.1614","-0.21%"
"Sep 14, 2021","6.1826","6.1596","6.2137","6.1523","0.41%"
"Sep 13, 2021","6.1572","6.1979","6.2011","6.1297","-0.64%"
"Sep 10, 2021","6.1969","6.1473","6.2269","6.1123","0.82%"
"Sep 09, 2021","6.1462","6.2893","6.3095","6.1419","-2.23%"
"Sep 08, 2021","6.2862","6.1225","6.3037","6.1073","2.73%"
"Sep 07, 2021","6.1193","6.1378","6.1458","6.1205","-0.25%"
"Sep 06, 2021","6.1349","6.1680","6.1855","6.1146","-0.53%"
"Sep 03, 2021","6.1677","6.1554","6.1778","6.0908","0.25%"
"Sep 02, 2021","6.1525","6.1402","6.1688","6.1020","0.22%"
"Sep 01, 2021","6.1390","6.0831","6.1543","6.0743","0.98%"
"Aug 31, 2021","6.0797","6.1171","6.1518","6.0378","-0.57%"
"Aug 30, 2021","6.1145","6.1332","6.1666","6.1139","-0.34%"
"Aug 27, 2021","6.1354","6.1736","6.1891","6.1182","-0.58%"
"Aug 26, 2021","6.1713","6.1364","6.1912","6.1283","0.60%"
"Aug 25, 2021","6.1342","6.1673","6.1909","6.1273","-0.52%"
"Aug 24, 2021","6.1660","6.3211","6.3228","6.1645","-2.41%"
"Aug 23, 2021","6.3180","6.2891","6.3374","6.2677","0.46%"
"Aug 20, 2021","6.2889","6.3226","6.3917","6.2782","-0.50%"
"Aug 19, 2021","6.3205","6.3010","6.3832","6.2765","0.34%"
"Aug 18, 2021","6.2993","6.2017","6.3204","6.1656","1.61%"
"Aug 17, 2021","6.1997","6.1954","6.2190","6.1333","0.09%"
"Aug 16, 2021","6.1941","6.1846","6.2351","6.1628","0.13%"
"Aug 13, 2021","6.1863","6.1614","6.2238","6.1522","0.40%"
"Aug 12, 2021","6.1615","6.1267","6.1747","6.1129","0.60%"
"Aug 11, 2021","6.1250","6.0826","6.1428","6.0635","0.72%"
"Aug 10, 2021","6.0811","6.1448","6.1676","6.0744","-0.99%"
"Aug 09, 2021","6.1421","6.1534","6.2272","6.1237","-0.14%"
"Aug 06, 2021","6.1506","6.2119","6.2158","6.1280","-0.96%"
"Aug 05, 2021","6.2104","6.1197","6.2220","6.0526","1.54%"
"Aug 04, 2021","6.1163","6.1672","6.2092","6.1168","-0.76%"
"Aug 03, 2021","6.1633","6.1430","6.2606","6.1407","0.37%"
"Aug 02, 2021","6.1408","6.1849","6.2030","6.0693","-0.75%"
"Jul 30, 2021","6.1870","6.0414","6.2018","6.0318","2.44%"
"Jul 29, 2021","6.0395","6.0606","6.0790","5.9895","-0.34%"
"Jul 28, 2021","6.0604","6.1091","6.1234","6.0441","-0.76%"
"Jul 27, 2021","6.1067","6.1102","6.1512","6.0926","-0.01%"
