Date,Month,Year,Price,Open,High,Low,Vol.,Change %
"Oct 18, 2021",October,2021,335.32,328.9,335.88,327.59,19.01M,3.25%
"Oct 15, 2021",October,2021,324.76,328.68,329.07,322.51,21.60M,-1.15%
"Oct 14, 2021",October,2021,328.53,328.36,330.52,327.1,14.22M,1.23%
"Oct 13, 2021",October,2021,324.54,326.97,327,322.66,14.52M,0.24%
"Oct 12, 2021",October,2021,323.77,323.03,324.38,317.37,31.66M,-0.52%
"Oct 11, 2021",October,2021,325.45,327.63,330.46,325.31,14.65M,-1.39%
"Oct 08, 2021",October,2021,330.05,331.51,333.4,328.71,15.95M,0.25%
"Oct 07, 2021",October,2021,329.22,337,338.84,328.98,28.20M,-1.32%
"Oct 06, 2021",October,2021,333.64,329.74,334.38,325.8,26.32M,0.20%
"Oct 05, 2021",October,2021,332.96,328.58,335.18,326.16,35.24M,2.06%
"Oct 04, 2021",October,2021,326.23,335.53,335.94,322.7,41.90M,-4.89%
"Oct 01, 2021",October,2021,343.01,341.61,345.02,338.64,14.91M,1.07%
"Sep 30, 2021",September,2021,339.39,340.45,342.8,338.15,16.36M,-0.06%
"Sep 29, 2021",September,2021,339.61,343.15,345.23,338.88,14.18M,-0.31%
"Sep 28, 2021",September,2021,340.65,347.97,349.6,338.92,21.09M,-3.66%
"Sep 27, 2021",September,2021,353.58,349.8,355.15,347.08,15.17M,0.18%
"Sep 24, 2021",September,2021,352.96,343.24,354.35,342.37,18.80M,2.02%
"Sep 23, 2021",September,2021,345.96,345.36,349.67,343,21.63M,0.80%
"Sep 22, 2021",September,2021,343.21,347.23,349.84,340.69,43.69M,-3.99%
"Sep 21, 2021",September,2021,357.48,358.5,360.04,355.19,11.65M,0.50%
"Sep 20, 2021",September,2021,355.7,359.3,361.03,349.8,19.62M,-2.47%
"Sep 17, 2021",September,2021,364.72,371.4,371.41,361.59,26.30M,-2.24%
"Sep 16, 2021",September,2021,373.06,372.79,373.56,369.71,11.57M,-0.23%
"Sep 15, 2021",September,2021,373.92,377,377.55,367.67,17.79M,-0.69%
