"Date","Price","Open","High","Low","Change %"
"Oct 18, 2021","7.5750","7.5155","7.6102","7.4900","0.79%"
"Oct 17, 2021","7.5157","7.5127","7.5179","7.5072","0.08%"
"Oct 15, 2021","7.5094","7.5392","7.5866","7.4728","-0.38%"
"Oct 14, 2021","7.5382","7.5300","7.5736","7.4925","0.10%"
"Oct 13, 2021","7.5306","7.5182","7.6120","7.4971","0.20%"
"Oct 12, 2021","7.5159","7.5300","7.5512","7.5113","-0.15%"
"Oct 11, 2021","7.5271","7.4971","7.5382","7.4882","0.35%"
"Oct 08, 2021","7.5006","7.5160","7.5443","7.4682","-0.19%"
"Oct 07, 2021","7.5149","7.4613","7.5310","7.4366","0.78%"
"Oct 06, 2021","7.4570","7.4639","7.5128","7.4178","-0.06%"
"Oct 05, 2021","7.4616","7.4241","7.4767","7.3912","0.53%"
"Oct 04, 2021","7.4222","7.2667","7.4288","7.2585","2.17%"
"Oct 01, 2021","7.2646","7.3333","7.3717","7.2568","-0.93%"
"Sep 30, 2021","7.3325","7.2701","7.3781","7.2289","0.88%"
"Sep 29, 2021","7.2683","7.3492","7.3595","7.2459","-1.08%"
"Sep 28, 2021","7.3480","7.3853","7.3970","7.3026","-0.49%"
"Sep 27, 2021","7.3841","7.3032","7.3920","7.2670","1.24%"
"Sep 24, 2021","7.2937","7.2766","7.3233","7.2501","0.28%"
"Sep 23, 2021","7.2736","7.2079","7.2998","7.1995","0.94%"
"Sep 22, 2021","7.2060","7.2003","7.2463","7.1613","0.11%"
"Sep 21, 2021","7.1982","7.2730","7.2922","7.1894","-0.99%"
"Sep 20, 2021","7.2704","7.2701","7.3373","7.2172","0.04%"
"Sep 17, 2021","7.2672","7.2488","7.3653","7.2413","0.33%"
"Sep 16, 2021","7.2435","7.2287","7.2794","7.2112","0.26%"
"Sep 15, 2021","7.2250","7.2344","7.2937","7.2172","-0.12%"
"Sep 14, 2021","7.2340","7.2144","7.2862","7.2115","0.27%"
"Sep 13, 2021","7.2146","7.2626","7.2809","7.1980","-0.61%"
"Sep 10, 2021","7.2591","7.1932","7.2933","7.1701","0.95%"
"Sep 09, 2021","7.1909","7.3288","7.3760","7.1881","-1.85%"
"Sep 08, 2021","7.3265","7.1272","7.3474","7.1098","2.81%"
"Sep 07, 2021","7.1263","7.1543","7.1655","7.1186","-0.35%"
"Sep 06, 2021","7.1512","7.1981","7.2130","7.1257","-0.64%"
"Sep 03, 2021","7.1970","7.1705","7.2105","7.1031","0.43%"
"Sep 02, 2021","7.1660","7.1448","7.1883","7.1139","0.38%"
"Sep 01, 2021","7.1386","7.0839","7.1571","7.0723","0.80%"
"Aug 31, 2021","7.0822","7.1355","7.1642","7.0378","-0.70%"
"Aug 30, 2021","7.1321","7.1550","7.1920","7.1292","-0.35%"
"Aug 27, 2021","7.1572","7.1959","7.2204","7.1410","-0.53%"
"Aug 26, 2021","7.1950","7.1736","7.2167","7.1554","0.34%"
"Aug 25, 2021","7.1708","7.2035","7.2292","7.1627","-0.43%"
"Aug 24, 2021","7.2016","7.3818","7.3988","7.2003","-2.42%"
"Aug 23, 2021","7.3800","7.3319","7.4090","7.3163","0.76%"
"Aug 20, 2021","7.3240","7.3881","7.4549","7.3101","-0.81%"
"Aug 19, 2021","7.3839","7.4019","7.4633","7.3422","-0.21%"
"Aug 18, 2021","7.3994","7.2773","7.4247","7.2448","1.72%"
"Aug 17, 2021","7.2740","7.2867","7.2927","7.1965","-0.14%"
"Aug 16, 2021","7.2844","7.2571","7.3444","7.2397","0.15%"
"Aug 13, 2021","7.2734","7.2524","7.3110","7.2316","0.30%"
"Aug 12, 2021","7.2520","7.2414","7.2689","7.1949","0.18%"
"Aug 11, 2021","7.2391","7.1853","7.2552","7.1619","0.77%"
"Aug 10, 2021","7.1838","7.2483","7.2923","7.1720","-0.84%"
"Aug 09, 2021","7.2447","7.2614","7.3447","7.2236","-0.14%"
"Aug 06, 2021","7.2547","7.3120","7.3358","7.2263","-0.76%"
"Aug 05, 2021","7.3105","7.1807","7.3239","7.1116","1.85%"
"Aug 04, 2021","7.1778","7.2338","7.2941","7.1770","-0.73%"
"Aug 03, 2021","7.2307","7.1859","7.3268","7.1835","0.66%"
"Aug 02, 2021","7.1830","7.2468","7.2638","7.1044","-0.86%"
"Jul 30, 2021","7.2456","7.0951","7.2676","7.0812","2.14%"
"Jul 29, 2021","7.0939","7.1127","7.1483","7.0380","-0.26%"
"Jul 28, 2021","7.1126","7.1761","7.1982","7.0976","-0.82%"
"Jul 27, 2021","7.1715","7.1528","7.2029","7.1265","0.30%"
"Jul 26, 2021","7.1503","7.1543","7.2071","7.1226","0.05%"
"Jul 23, 2021","7.1469","7.1606","7.1973","7.0972","-0.14%"
"Jul 22, 2021","7.1572","7.1154","7.1858","7.1034","0.64%"
"Jul 21, 2021","7.1119","7.1164","7.2207","7.0963","-0.02%"
"Jul 20, 2021","7.1135","7.1826","7.1908","7.0754","-0.93%"
"Jul 19, 2021","7.1804","7.0526","7.1884","7.0084","1.98%"
"Jul 16, 2021","7.0409","7.0696","7.0862","6.9920","-0.36%"
"Jul 15, 2021","7.0661","7.0282","7.1020","7.0054","0.56%"
"Jul 14, 2021","7.0268","7.1332","7.1660","7.0248","-1.45%"
"Jul 13, 2021","7.1300","7.1839","7.2111","7.1266","-0.70%"
"Jul 12, 2021","7.1801","7.3123","7.3201","7.1656","-1.75%"
"Jul 09, 2021","7.3080","7.2523","7.3159","7.2351","0.83%"
"Jul 08, 2021","7.2480","7.2214","7.3205","7.1858","0.39%"
"Jul 07, 2021","7.2195","7.1747","7.2852","7.1525","0.66%"
"Jul 06, 2021","7.1724","7.0577","7.2013","7.0346","1.76%"
"Jul 05, 2021","7.0485","6.9925","7.0633","6.9901","0.84%"
"Jul 02, 2021","6.9900","6.9512","7.0054","6.8741","0.60%"
"Jul 01, 2021","6.9485","6.8724","6.9563","6.8347","1.14%"
"Jun 30, 2021","6.8701","6.8597","6.9394","6.8478","0.20%"
"Jun 29, 2021","6.8565","6.8400","6.8713","6.8087","0.29%"
"Jun 28, 2021","6.8365","6.8517","6.9068","6.8232","-0.14%"
"Jun 25, 2021","6.8462","6.8430","6.9038","6.8043","0.07%"
"Jun 24, 2021","6.8417","6.9360","6.9508","6.8225","-1.32%"
"Jun 23, 2021","6.9330","6.9167","6.9620","6.9011","0.27%"
"Jun 22, 2021","6.9141","6.9857","7.0098","6.9131","-1.02%"
"Jun 21, 2021","6.9853","7.0307","7.0701","6.9844","-0.61%"
"Jun 18, 2021","7.0280","6.9710","7.0500","6.8983","0.86%"
"Jun 17, 2021","6.9681","7.0718","7.0826","6.9699","-1.44%"
"Jun 16, 2021","7.0697","7.1061","7.1382","7.0417","-0.47%"
"Jun 15, 2021","7.1030","7.1438","7.1885","7.0939","-0.51%"
"Jun 14, 2021","7.1393","7.2222","7.2227","7.1338","-1.09%"
"Jun 11, 2021","7.2182","7.1680","7.2555","7.1496","0.75%"
"Jun 10, 2021","7.1647","7.1495","7.2108","7.1034","0.25%"
"Jun 09, 2021","7.1467","7.1277","7.1806","7.1007","0.33%"
"Jun 08, 2021","7.1235","7.1570","7.1627","7.1017","-0.41%"
"Jun 07, 2021","7.1529","7.1410","7.1862","7.1139","0.08%"
"Jun 04, 2021","7.1471","7.1627","7.2307","7.1245","-0.20%"
"Jun 03, 2021","7.1613","7.1932","7.2098","7.1540","-0.41%"
"Jun 02, 2021","7.1908","7.2909","7.3287","7.1828","-1.31%"
"Jun 01, 2021","7.2865","7.4168","7.4359","7.2734","-1.71%"
"May 31, 2021","7.4131","7.4093","7.4798","7.3689","0.01%"
"May 28, 2021","7.4124","7.4429","7.4572","7.3871","-0.36%"
"May 27, 2021","7.4389","7.5006","7.5368","7.4345","-0.80%"
"May 26, 2021","7.4988","7.5465","7.5587","7.4686","-0.60%"
"May 25, 2021","7.5442","7.5321","7.5638","7.4875","0.19%"
"May 24, 2021","7.5298","7.5939","7.6012","7.5163","-0.73%"
"May 21, 2021","7.5852","7.4991","7.6003","7.4802","1.20%"
"May 20, 2021","7.4953","7.4957","7.5104","7.4602","0.04%"
"May 19, 2021","7.4920","7.4647","7.5174","7.4412","0.40%"
"May 18, 2021","7.4625","7.4515","7.4992","7.4198","0.13%"
"May 17, 2021","7.4527","7.4299","7.5065","7.4116","0.27%"
"May 14, 2021","7.4325","7.4602","7.4785","7.3920","-0.36%"
"May 13, 2021","7.4591","7.4547","7.4781","7.3818","0.04%"
"May 12, 2021","7.4561","7.3847","7.4766","7.3516","1.01%"
"May 11, 2021","7.3816","7.3809","7.4724","7.3623","0.01%"
"May 10, 2021","7.3808","7.3170","7.4264","7.3160","0.87%"
"May 07, 2021","7.3169","7.3312","7.3584","7.2726","-0.17%"
"May 06, 2021","7.3292","7.4493","7.4741","7.2969","-1.54%"
"May 05, 2021","7.4439","7.5554","7.5830","7.4419","-1.51%"
"May 04, 2021","7.5583","7.5673","7.5965","7.5128","-0.15%"
"May 03, 2021","7.5693","7.5175","7.5802","7.4769","0.79%"
"Apr 30, 2021","7.5101","7.4419","7.5257","7.4047","0.94%"
"Apr 29, 2021","7.4405","7.4476","7.5054","7.4297","-0.05%"
"Apr 28, 2021","7.4439","7.5869","7.5869","7.4447","-1.85%"
"Apr 27, 2021","7.5841","7.5570","7.6014","7.5269","0.39%"
"Apr 26, 2021","7.5544","7.5957","7.6272","7.5501","-0.55%"
"Apr 23, 2021","7.5962","7.5349","7.6460","7.5317","0.83%"
"Apr 22, 2021","7.5334","7.7589","7.7698","7.5249","-2.87%"
"Apr 21, 2021","7.7559","7.7628","7.7700","7.7331","-0.06%"
"Apr 20, 2021","7.7605","7.7600","7.8071","7.6787","0.06%"
"Apr 19, 2021","7.7555","7.7256","7.8422","7.7155","0.35%"
"Apr 16, 2021","7.7286","7.7417","7.8362","7.6964","-0.18%"
"Apr 15, 2021","7.7425","7.7917","7.8091","7.7190","-0.60%"
"Apr 14, 2021","7.7893","7.8615","7.8959","7.7779","-0.88%"
"Apr 13, 2021","7.8586","7.8790","7.8979","7.7838","-0.24%"
"Apr 12, 2021","7.8774","7.7913","7.8918","7.7427","1.14%"
"Apr 09, 2021","7.7885","7.6547","7.7973","7.6117","1.78%"
"Apr 08, 2021","7.6520","7.7122","7.7372","7.6102","-0.76%"
"Apr 07, 2021","7.7107","7.7301","7.7619","7.6432","-0.22%"
"Apr 06, 2021","7.7276","7.8740","7.8846","7.7021","-1.81%"
"Apr 05, 2021","7.8701","7.8924","7.9184","7.8214","-0.30%"
"Apr 02, 2021","7.8940","7.8970","7.9090","7.8847","0.01%"
"Apr 01, 2021","7.8929","7.7635","7.9238","7.7310","1.72%"
"Mar 31, 2021","7.7596","7.9356","7.9644","7.7485","-2.19%"
"Mar 30, 2021","7.9336","7.9566","7.9707","7.8475","-0.24%"
"Mar 29, 2021","7.9526","7.9390","8.0209","7.9001","0.22%"
"Mar 26, 2021","7.9355","7.7550","7.9441","7.7546","2.33%"
"Mar 25, 2021","7.7551","7.6940","7.8097","7.6841","0.83%"
"Mar 24, 2021","7.6911","7.5933","7.7247","7.5275","1.31%"
"Mar 23, 2021","7.5919","7.6350","7.6532","7.5206","-0.54%"
"Mar 22, 2021","7.6328","7.6115","7.6824","7.5845","0.21%"
"Mar 19, 2021","7.6170","7.7439","7.7621","7.5599","-1.59%"
"Mar 18, 2021","7.7401","7.8007","7.8200","7.6363","-0.71%"
"Mar 17, 2021","7.7958","7.8136","7.8946","7.7754","-0.22%"
"Mar 16, 2021","7.8126","7.8060","7.8186","7.7164","0.14%"
"Mar 15, 2021","7.8018","7.7284","7.8538","7.7030","0.94%"
"Mar 12, 2021","7.7292","7.7449","7.7696","7.6784","-0.20%"
"Mar 11, 2021","7.7444","7.9026","7.9214","7.7252","-1.98%"
"Mar 10, 2021","7.9005","8.0617","8.0744","7.8619","-2.00%"
"Mar 09, 2021","8.0614","8.1242","8.1682","8.0108","-0.75%"
"Mar 08, 2021","8.1223","7.8747","8.1239","7.8534","3.12%"
"Mar 05, 2021","7.8766","7.8786","7.8965","7.8171","-0.00%"
"Mar 04, 2021","7.8769","7.8419","7.9046","7.7577","0.46%"
"Mar 03, 2021","7.8406","7.9202","8.0746","7.7893","-1.00%"
"Mar 02, 2021","7.9199","7.8561","7.9879","7.8191","0.85%"
"Mar 01, 2021","7.8528","7.8042","7.8590","7.7361","0.68%"
"Feb 26, 2021","7.8000","7.7517","7.8249","7.6515","0.64%"
"Feb 25, 2021","7.7503","7.6423","7.7916","7.6347","1.39%"
"Feb 24, 2021","7.6438","7.6775","7.7466","7.6167","-0.43%"
"Feb 23, 2021","7.6771","7.6880","7.7140","7.6329","-0.12%"
"Feb 22, 2021","7.6861","7.5437","7.7689","7.5248","1.90%"
"Feb 19, 2021","7.5428","7.5848","7.6552","7.5202","-0.52%"
"Feb 18, 2021","7.5821","7.4966","7.6157","7.4879","1.19%"
"Feb 17, 2021","7.4930","7.4686","7.5226","7.4310","0.39%"
"Feb 16, 2021","7.4636","7.4661","7.4927","7.4475","-0.03%"
"Feb 15, 2021","7.4656","7.4355","7.4752","7.4355","0.45%"
"Feb 12, 2021","7.4323","7.4152","7.4653","7.3924","0.26%"
"Feb 11, 2021","7.4133","7.4503","7.4740","7.3802","-0.46%"
"Feb 10, 2021","7.4478","7.4308","7.5219","7.4056","0.25%"
"Feb 09, 2021","7.4293","7.3731","7.5100","7.3703","0.79%"
"Feb 08, 2021","7.3714","7.3734","7.4198","7.2859","-0.05%"
"Feb 05, 2021","7.3752","7.4201","7.4724","7.3367","-0.58%"
"Feb 04, 2021","7.4182","7.3060","7.4565","7.2642","1.56%"
"Feb 03, 2021","7.3042","7.3355","7.3610","7.2567","-0.43%"
"Feb 02, 2021","7.3354","7.4231","7.4489","7.2896","-1.15%"
"Feb 01, 2021","7.4209","7.4914","7.5166","7.4169","-0.83%"
"Jan 29, 2021","7.4831","7.4658","7.5554","7.4298","0.25%"
"Jan 28, 2021","7.4645","7.4107","7.4917","7.3781","0.76%"
"Jan 27, 2021","7.4082","7.3562","7.4277","7.3347","0.70%"
"Jan 26, 2021","7.3564","7.4756","7.4939","7.2957","-1.59%"
"Jan 25, 2021","7.4749","7.4787","7.5033","7.4615","-0.07%"
"Jan 22, 2021","7.4805","7.3486","7.5115","7.3048","1.81%"
