"Date","Price","Open","High","Low","Change %"
"Oct 18, 2021","5.5132","5.4576","5.5422","5.4576","0.95%"
"Oct 15, 2021","5.4611","5.5139","5.5139","5.4337","-0.94%"
"Oct 14, 2021","5.5132","5.5139","5.5308","5.4670","-0.00%"
"Oct 13, 2021","5.5133","5.5368","5.5737","5.4988","-0.35%"
"Oct 12, 2021","5.5325","5.5370","5.5372","5.5328","-0.08%"
"Oct 11, 2021","5.5367","5.5073","5.5445","5.4946","0.52%"
"Oct 08, 2021","5.5082","5.5187","5.5324","5.4768","-0.19%"
"Oct 07, 2021","5.5188","5.4937","5.5295","5.4667","0.50%"
"Oct 06, 2021","5.4912","5.4770","5.5381","5.4755","0.30%"
"Oct 05, 2021","5.4748","5.4546","5.4879","5.4240","0.39%"
"Oct 04, 2021","5.4535","5.3614","5.4593","5.3614","1.67%"
"Oct 01, 2021","5.3639","5.4432","5.4432","5.3527","-1.45%"
"Sep 30, 2021","5.4428","5.4120","5.4767","5.3668","0.50%"
"Sep 29, 2021","5.4157","5.4286","5.4461","5.3920","-0.25%"
"Sep 28, 2021","5.4293","5.3920","5.4521","5.3863","0.70%"
"Sep 27, 2021","5.3914","5.3384","5.3945","5.3067","1.07%"
"Sep 24, 2021","5.3344","5.3039","5.3549","5.3023","0.59%"
"Sep 23, 2021","5.3030","5.2618","5.3124","5.2561","0.27%"
"Sep 22, 2021","5.2888","5.2706","5.3191","5.2495","0.36%"
"Sep 21, 2021","5.2699","5.3252","5.3374","5.2626","-1.02%"
"Sep 20, 2021","5.3240","5.2851","5.3779","5.2849","0.68%"
"Sep 17, 2021","5.2883","5.2568","5.3472","5.2509","0.66%"
"Sep 16, 2021","5.2535","5.2375","5.2801","5.2315","0.61%"
"Sep 15, 2021","5.2219","5.2408","5.2722","5.2148","-0.34%"
"Sep 14, 2021","5.2398","5.2393","5.2642","5.1980","0.48%"
"Sep 13, 2021","5.2147","5.2490","5.2659","5.2017","-0.58%"
"Sep 10, 2021","5.2454","5.1677","5.2712","5.1637","0.92%"
"Sep 09, 2021","5.1976","5.3252","5.3347","5.1930","-2.33%"
"Sep 08, 2021","5.3214","5.2016","5.3344","5.1955","2.94%"
"Sep 07, 2021","5.1692","5.1705","5.1708","5.1704","-0.00%"
"Sep 06, 2021","5.1693","5.1920","5.2126","5.1547","-0.44%"
